Depth,Mean,SD,-SD,+SD
7.95,4.98,2.40,2.57,7.38
8.00,5.30,3.54,1.76,8.84
8.05,5.68,4.84,0.84,10.53
8.10,6.03,6.28,0.00,12.31
8.15,6.34,5.58,0.76,11.92
8.20,6.77,4.82,1.95,11.60
8.25,6.26,3.68,2.59,9.94
8.30,5.08,2.15,2.93,7.23
8.35,4.60,1.09,3.51,5.68
8.40,4.36,0.90,3.46,5.26
8.45,4.17,0.71,3.46,4.88
8.50,4.33,0.96,3.36,5.29
8.55,4.54,1.23,3.30,5.77
8.60,4.74,1.27,3.47,6.01
8.65,4.96,1.07,3.89,6.03
8.70,5.17,0.94,4.23,6.10
8.75,5.25,0.75,4.50,6.00
8.80,5.11,0.58,4.53,5.69
8.85,5.22,0.67,4.55,5.89
8.90,5.34,1.14,4.19,6.48
8.95,5.48,1.47,4.01,6.95
9.00,5.41,1.08,4.32,6.49
9.05,5.32,0.76,4.56,6.08
9.10,5.22,0.51,4.70,5.73
9.15,5.28,0.44,4.84,5.72
9.20,5.31,0.36,4.95,5.67
9.25,5.39,0.32,5.07,5.71
9.30,5.41,0.28,5.13,5.69
9.35,5.46,0.27,5.19,5.73
9.40,5.51,0.35,5.16,5.86
9.45,5.61,0.45,5.16,6.06
9.50,5.80,0.67,5.13,6.47
9.55,6.06,0.98,5.08,7.04
9.60,5.93,0.88,5.04,6.81
9.65,5.83,0.74,5.09,6.57
9.70,5.76,0.61,5.15,6.37
9.75,5.82,0.69,5.13,6.51
9.80,5.88,0.75,5.13,6.64
9.85,5.74,0.64,5.09,6.38
9.90,5.62,0.57,5.04,6.19
9.95,5.50,0.48,5.02,5.98
10.00,5.56,0.45,5.11,6.01
10.05,5.60,0.47,5.14,6.07
10.10,5.55,0.67,4.87,6.22
10.15,5.44,0.89,4.55,6.33
10.20,5.41,1.10,4.31,6.50
10.25,5.45,0.98,4.47,6.43
10.30,5.55,0.89,4.66,6.45
10.35,5.72,0.73,4.99,6.44
10.40,5.90,0.55,5.35,6.46
10.45,6.08,0.42,5.65,6.50
